========== SENDER OPRF STEP 2 ==========
发送方随机数 r_s: 7980827918864421565079662578483006640814382556096375771776030214728595054350

打乱映射 (shuffle_map):
  打乱后位置[0] <- 原始位置[190]
  打乱后位置[1] <- 原始位置[225]
  打乱后位置[2] <- 原始位置[250]
  打乱后位置[3] <- 原始位置[134]
  打乱后位置[4] <- 原始位置[121]
  打乱后位置[5] <- 原始位置[33]
  打乱后位置[6] <- 原始位置[54]
  打乱后位置[7] <- 原始位置[97]
  打乱后位置[8] <- 原始位置[24]
  打乱后位置[9] <- 原始位置[4]
  打乱后位置[10] <- 原始位置[215]
  打乱后位置[11] <- 原始位置[17]
  打乱后位置[12] <- 原始位置[206]
  打乱后位置[13] <- 原始位置[66]
  打乱后位置[14] <- 原始位置[167]
  打乱后位置[15] <- 原始位置[153]
  打乱后位置[16] <- 原始位置[166]
  打乱后位置[17] <- 原始位置[25]
  打乱后位置[18] <- 原始位置[132]
  打乱后位置[19] <- 原始位置[23]
  打乱后位置[20] <- 原始位置[135]
  打乱后位置[21] <- 原始位置[114]
  打乱后位置[22] <- 原始位置[232]
  打乱后位置[23] <- 原始位置[44]
  打乱后位置[24] <- 原始位置[159]
  打乱后位置[25] <- 原始位置[157]
  打乱后位置[26] <- 原始位置[22]
  打乱后位置[27] <- 原始位置[249]
  打乱后位置[28] <- 原始位置[141]
  打乱后位置[29] <- 原始位置[163]
  打乱后位置[30] <- 原始位置[150]
  打乱后位置[31] <- 原始位置[242]
  打乱后位置[32] <- 原始位置[56]
  打乱后位置[33] <- 原始位置[173]
  打乱后位置[34] <- 原始位置[137]
  打乱后位置[35] <- 原始位置[170]
  打乱后位置[36] <- 原始位置[53]
  打乱后位置[37] <- 原始位置[64]
  打乱后位置[38] <- 原始位置[73]
  打乱后位置[39] <- 原始位置[118]
  打乱后位置[40] <- 原始位置[45]
  打乱后位置[41] <- 原始位置[164]
  打乱后位置[42] <- 原始位置[85]
  打乱后位置[43] <- 原始位置[231]
  打乱后位置[44] <- 原始位置[158]
  打乱后位置[45] <- 原始位置[5]
  打乱后位置[46] <- 原始位置[10]
  打乱后位置[47] <- 原始位置[208]
  打乱后位置[48] <- 原始位置[107]
  打乱后位置[49] <- 原始位置[237]
  打乱后位置[50] <- 原始位置[191]
  打乱后位置[51] <- 原始位置[75]
  打乱后位置[52] <- 原始位置[92]
  打乱后位置[53] <- 原始位置[251]
  打乱后位置[54] <- 原始位置[99]
  打乱后位置[55] <- 原始位置[243]
  打乱后位置[56] <- 原始位置[168]
  打乱后位置[57] <- 原始位置[202]
  打乱后位置[58] <- 原始位置[112]
  打乱后位置[59] <- 原始位置[178]
  打乱后位置[60] <- 原始位置[181]
  打乱后位置[61] <- 原始位置[96]
  打乱后位置[62] <- 原始位置[219]
  打乱后位置[63] <- 原始位置[13]
  打乱后位置[64] <- 原始位置[26]
  打乱后位置[65] <- 原始位置[126]
  打乱后位置[66] <- 原始位置[229]
  打乱后位置[67] <- 原始位置[169]
  打乱后位置[68] <- 原始位置[40]
  打乱后位置[69] <- 原始位置[74]
  打乱后位置[70] <- 原始位置[70]
  打乱后位置[71] <- 原始位置[58]
  打乱后位置[72] <- 原始位置[207]
  打乱后位置[73] <- 原始位置[175]
  打乱后位置[74] <- 原始位置[3]
  打乱后位置[75] <- 原始位置[139]
  打乱后位置[76] <- 原始位置[6]
  打乱后位置[77] <- 原始位置[136]
  打乱后位置[78] <- 原始位置[156]
  打乱后位置[79] <- 原始位置[84]
  打乱后位置[80] <- 原始位置[128]
  打乱后位置[81] <- 原始位置[228]
  打乱后位置[82] <- 原始位置[87]
  打乱后位置[83] <- 原始位置[83]
  打乱后位置[84] <- 原始位置[204]
  打乱后位置[85] <- 原始位置[46]
  打乱后位置[86] <- 原始位置[0]
  打乱后位置[87] <- 原始位置[34]
  打乱后位置[88] <- 原始位置[124]
  打乱后位置[89] <- 原始位置[222]
  打乱后位置[90] <- 原始位置[248]
  打乱后位置[91] <- 原始位置[61]
  打乱后位置[92] <- 原始位置[21]
  打乱后位置[93] <- 原始位置[37]
  打乱后位置[94] <- 原始位置[142]
  打乱后位置[95] <- 原始位置[188]
  打乱后位置[96] <- 原始位置[226]
  打乱后位置[97] <- 原始位置[98]
  打乱后位置[98] <- 原始位置[109]
  打乱后位置[99] <- 原始位置[255]
  打乱后位置[100] <- 原始位置[171]
  打乱后位置[101] <- 原始位置[147]
  打乱后位置[102] <- 原始位置[117]
  打乱后位置[103] <- 原始位置[108]
  打乱后位置[104] <- 原始位置[179]
  打乱后位置[105] <- 原始位置[160]
  打乱后位置[106] <- 原始位置[213]
  打乱后位置[107] <- 原始位置[125]
  打乱后位置[108] <- 原始位置[235]
  打乱后位置[109] <- 原始位置[62]
  打乱后位置[110] <- 原始位置[161]
  打乱后位置[111] <- 原始位置[148]
  打乱后位置[112] <- 原始位置[69]
  打乱后位置[113] <- 原始位置[77]
  打乱后位置[114] <- 原始位置[94]
  打乱后位置[115] <- 原始位置[100]
  打乱后位置[116] <- 原始位置[152]
  打乱后位置[117] <- 原始位置[254]
  打乱后位置[118] <- 原始位置[11]
  打乱后位置[119] <- 原始位置[240]
  打乱后位置[120] <- 原始位置[8]
  打乱后位置[121] <- 原始位置[209]
  打乱后位置[122] <- 原始位置[1]
  打乱后位置[123] <- 原始位置[78]
  打乱后位置[124] <- 原始位置[27]
  打乱后位置[125] <- 原始位置[16]
  打乱后位置[126] <- 原始位置[122]
  打乱后位置[127] <- 原始位置[189]
  打乱后位置[128] <- 原始位置[89]
  打乱后位置[129] <- 原始位置[144]
  打乱后位置[130] <- 原始位置[133]
  打乱后位置[131] <- 原始位置[18]
  打乱后位置[132] <- 原始位置[176]
  打乱后位置[133] <- 原始位置[185]
  打乱后位置[134] <- 原始位置[36]
  打乱后位置[135] <- 原始位置[252]
  打乱后位置[136] <- 原始位置[43]
  打乱后位置[137] <- 原始位置[244]
  打乱后位置[138] <- 原始位置[41]
  打乱后位置[139] <- 原始位置[102]
  打乱后位置[140] <- 原始位置[9]
  打乱后位置[141] <- 原始位置[162]
  打乱后位置[142] <- 原始位置[155]
  打乱后位置[143] <- 原始位置[241]
  打乱后位置[144] <- 原始位置[205]
  打乱后位置[145] <- 原始位置[149]
  打乱后位置[146] <- 原始位置[101]
  打乱后位置[147] <- 原始位置[14]
  打乱后位置[148] <- 原始位置[140]
  打乱后位置[149] <- 原始位置[72]
  打乱后位置[150] <- 原始位置[86]
  打乱后位置[151] <- 原始位置[198]
  打乱后位置[152] <- 原始位置[138]
  打乱后位置[153] <- 原始位置[195]
  打乱后位置[154] <- 原始位置[233]
  打乱后位置[155] <- 原始位置[192]
  打乱后位置[156] <- 原始位置[47]
  打乱后位置[157] <- 原始位置[183]
  打乱后位置[158] <- 原始位置[105]
  打乱后位置[159] <- 原始位置[95]
  打乱后位置[160] <- 原始位置[106]
  打乱后位置[161] <- 原始位置[55]
  打乱后位置[162] <- 原始位置[127]
  打乱后位置[163] <- 原始位置[67]
  打乱后位置[164] <- 原始位置[216]
  打乱后位置[165] <- 原始位置[116]
  打乱后位置[166] <- 原始位置[210]
  打乱后位置[167] <- 原始位置[236]
  打乱后位置[168] <- 原始位置[60]
  打乱后位置[169] <- 原始位置[221]
  打乱后位置[170] <- 原始位置[38]
  打乱后位置[171] <- 原始位置[199]
  打乱后位置[172] <- 原始位置[103]
  打乱后位置[173] <- 原始位置[151]
  打乱后位置[174] <- 原始位置[201]
  打乱后位置[175] <- 原始位置[81]
  打乱后位置[176] <- 原始位置[238]
  打乱后位置[177] <- 原始位置[48]
  打乱后位置[178] <- 原始位置[91]
  打乱后位置[179] <- 原始位置[115]
  打乱后位置[180] <- 原始位置[113]
  打乱后位置[181] <- 原始位置[71]
  打乱后位置[182] <- 原始位置[247]
  打乱后位置[183] <- 原始位置[211]
  打乱后位置[184] <- 原始位置[234]
  打乱后位置[185] <- 原始位置[63]
  打乱后位置[186] <- 原始位置[214]
  打乱后位置[187] <- 原始位置[76]
  打乱后位置[188] <- 原始位置[200]
  打乱后位置[189] <- 原始位置[143]
  打乱后位置[190] <- 原始位置[42]
  打乱后位置[191] <- 原始位置[165]
  打乱后位置[192] <- 原始位置[15]
  打乱后位置[193] <- 原始位置[218]
  打乱后位置[194] <- 原始位置[186]
  打乱后位置[195] <- 原始位置[180]
  打乱后位置[196] <- 原始位置[20]
  打乱后位置[197] <- 原始位置[194]
  打乱后位置[198] <- 原始位置[2]
  打乱后位置[199] <- 原始位置[68]
  打乱后位置[200] <- 原始位置[59]
  打乱后位置[201] <- 原始位置[49]
  打乱后位置[202] <- 原始位置[146]
  打乱后位置[203] <- 原始位置[120]
  打乱后位置[204] <- 原始位置[246]
  打乱后位置[205] <- 原始位置[12]
  打乱后位置[206] <- 原始位置[57]
  打乱后位置[207] <- 原始位置[119]
  打乱后位置[208] <- 原始位置[111]
  打乱后位置[209] <- 原始位置[123]
  打乱后位置[210] <- 原始位置[196]
  打乱后位置[211] <- 原始位置[220]
  打乱后位置[212] <- 原始位置[145]
  打乱后位置[213] <- 原始位置[50]
  打乱后位置[214] <- 原始位置[174]
  打乱后位置[215] <- 原始位置[184]
  打乱后位置[216] <- 原始位置[182]
  打乱后位置[217] <- 原始位置[239]
  打乱后位置[218] <- 原始位置[7]
