========== Sender Phase3: 扁平化PIR数据库 (子桶为行) ==========
数据库组织: 每个子桶是一个独立的行
行索引 = main_idx * nh + sub_idx
总行数 = 384 × 3 = 1152
每行大小 = 35 slots

行[0] = (主桶0, 子桶0): 24 个非空slot
行[1] = (主桶0, 子桶1): 9 个非空slot
行[2] = (主桶0, 子桶2): 2 个非空slot
行[3] = (主桶1, 子桶0): 20 个非空slot
行[4] = (主桶1, 子桶1): 14 个非空slot
行[5] = (主桶1, 子桶2): 4 个非空slot
行[6] = (主桶2, 子桶0): 18 个非空slot
行[7] = (主桶2, 子桶1): 7 个非空slot
行[8] = (主桶2, 子桶2): 0 个非空slot
行[9] = (主桶3, 子桶0): 25 个非空slot
行[10] = (主桶3, 子桶1): 10 个非空slot
行[11] = (主桶3, 子桶2): 1 个非空slot
行[12] = (主桶4, 子桶0): 25 个非空slot
行[13] = (主桶4, 子桶1): 8 个非空slot
行[14] = (主桶4, 子桶2): 1 个非空slot
行[15] = (主桶5, 子桶0): 19 个非空slot
行[16] = (主桶5, 子桶1): 10 个非空slot
行[17] = (主桶5, 子桶2): 3 个非空slot
行[18] = (主桶6, 子桶0): 16 个非空slot
行[19] = (主桶6, 子桶1): 3 个非空slot
行[20] = (主桶6, 子桶2): 0 个非空slot
行[21] = (主桶7, 子桶0): 18 个非空slot
行[22] = (主桶7, 子桶1): 7 个非空slot
行[23] = (主桶7, 子桶2): 1 个非空slot
行[24] = (主桶8, 子桶0): 20 个非空slot
行[25] = (主桶8, 子桶1): 9 个非空slot
行[26] = (主桶8, 子桶2): 2 个非空slot
行[27] = (主桶9, 子桶0): 19 个非空slot
行[28] = (主桶9, 子桶1): 13 个非空slot
行[29] = (主桶9, 子桶2): 3 个非空slot
行[30] = (主桶10, 子桶0): 19 个非空slot
行[31] = (主桶10, 子桶1): 8 个非空slot
行[32] = (主桶10, 子桶2): 1 个非空slot
行[33] = (主桶11, 子桶0): 27 个非空slot
行[34] = (主桶11, 子桶1): 17 个非空slot
行[35] = (主桶11, 子桶2): 3 个非空slot
行[36] = (主桶12, 子桶0): 21 个非空slot
行[37] = (主桶12, 子桶1): 8 个非空slot
行[38] = (主桶12, 子桶2): 2 个非空slot
行[39] = (主桶13, 子桶0): 16 个非空slot
行[40] = (主桶13, 子桶1): 4 个非空slot
行[41] = (主桶13, 子桶2): 1 个非空slot
行[42] = (主桶14, 子桶0): 26 个非空slot
行[43] = (主桶14, 子桶1): 14 个非空slot
行[44] = (主桶14, 子桶2): 2 个非空slot
行[45] = (主桶15, 子桶0): 22 个非空slot
行[46] = (主桶15, 子桶1): 8 个非空slot
行[47] = (主桶15, 子桶2): 0 个非空slot
行[48] = (主桶16, 子桶0): 21 个非空slot
行[49] = (主桶16, 子桶1): 7 个非空slot
行[50] = (主桶16, 子桶2): 0 个非空slot
行[51] = (主桶17, 子桶0): 23 个非空slot
行[52] = (主桶17, 子桶1): 11 个非空slot
行[53] = (主桶17, 子桶2): 1 个非空slot
行[54] = (主桶18, 子桶0): 23 个非空slot
行[55] = (主桶18, 子桶1): 11 个非空slot
行[56] = (主桶18, 子桶2): 3 个非空slot
行[57] = (主桶19, 子桶0): 20 个非空slot
行[58] = (主桶19, 子桶1): 3 个非空slot
行[59] = (主桶19, 子桶2): 0 个非空slot
行[60] = (主桶20, 子桶0): 19 个非空slot
行[61] = (主桶20, 子桶1): 14 个非空slot
行[62] = (主桶20, 子桶2): 3 个非空slot
行[63] = (主桶21, 子桶0): 17 个非空slot
行[64] = (主桶21, 子桶1): 12 个非空slot
行[65] = (主桶21, 子桶2): 2 个非空slot
行[66] = (主桶22, 子桶0): 18 个非空slot
行[67] = (主桶22, 子桶1): 12 个非空slot
行[68] = (主桶22, 子桶2): 2 个非空slot
行[69] = (主桶23, 子桶0): 24 个非空slot
行[70] = (主桶23, 子桶1): 11 个非空slot
行[71] = (主桶23, 子桶2): 3 个非空slot
行[72] = (主桶24, 子桶0): 22 个非空slot
行[73] = (主桶24, 子桶1): 9 个非空slot
行[74] = (主桶24, 子桶2): 0 个非空slot
行[75] = (主桶25, 子桶0): 20 个非空slot
行[76] = (主桶25, 子桶1): 8 个非空slot
行[77] = (主桶25, 子桶2): 4 个非空slot
行[78] = (主桶26, 子桶0): 18 个非空slot
行[79] = (主桶26, 子桶1): 11 个非空slot
行[80] = (主桶26, 子桶2): 3 个非空slot
行[81] = (主桶27, 子桶0): 19 个非空slot
行[82] = (主桶27, 子桶1): 8 个非空slot
行[83] = (主桶27, 子桶2): 0 个非空slot
行[84] = (主桶28, 子桶0): 19 个非空slot
行[85] = (主桶28, 子桶1): 9 个非空slot
行[86] = (主桶28, 子桶2): 1 个非空slot
行[87] = (主桶29, 子桶0): 19 个非空slot
行[88] = (主桶29, 子桶1): 7 个非空slot
行[89] = (主桶29, 子桶2): 0 个非空slot
行[90] = (主桶30, 子桶0): 20 个非空slot
行[91] = (主桶30, 子桶1): 11 个非空slot
行[92] = (主桶30, 子桶2): 2 个非空slot
行[93] = (主桶31, 子桶0): 19 个非空slot
行[94] = (主桶31, 子桶1): 9 个非空slot
行[95] = (主桶31, 子桶2): 2 个非空slot
行[96] = (主桶32, 子桶0): 21 个非空slot
