label(sender size+receiver size+intersecting size+label bytes+item bytes+thread num),com,offline time,online time,param
1048576_4096_4096_128_16_t1,30780 KB,2821.278 s,94.160 s,1M-4096-com.json
1048576_2048_2048_128_16_t1,21836 KB,3576.169 s,124.182 s,1M-2048-com.json
1048576_1024_1024_128_16_t1,18262 KB,3760.559 s,112.308 s,1M-1024-com.json
1048576_512_512_128_16_t1,11828 KB,6557.435 s,139.333 s,1M-512-com.json
1048576_256_256_128_16_t1,13368 KB,5545.448 s,15.568 s,1M-256.json
1048576_256_256_128_16_t1,7412 KB,15132.080 s,17.787 s,1M-256-288.json
1048576_128_128_128_16_t1,13356 KB,5522.668 s,15.588 s,1M-256.json
1048576_64_64_128_16_t1,13355 KB,5541.868 s,15.387 s,1M-256.json
1048576_1_1_128_16_t1,13795 KB,583.118 s,2.600 s,1M-1.json

1048576_4096_4096_128_16_t32,32534 KB,126.999 s,6.221 s,1M-4096-com.json
1048576_2048_2048_128_16_t32,21833 KB,153.260 s,7.903 s,1M-2048-com.json
1048576_1024_1024_128_16_t32,18263 KB,150.701 s,7.755 s,1M-1024-com.json
1048576_512_512_128_16_t32,11831 KB,254.928 s,8.551 s,1M-512-com.json
1048576_256_256_128_16_t32,13366 KB,228.334 s,1.062 s,1M-256.json
1048576_256_256_128_16_t32,7418 KB,561.725 s,2.190 s,1M-256-288.json
1048576_1_1_128_16_t32,6665 KB,78.564 s,1.956 s,1M-1-32.json
1048576_1_1_128_16_t32,13539 KB,34.621 s,0.312 s,1M-1.json
