Sender,Receiver,Payload,sum_online,oprf_on,gen_idx_on,query_on,ot_on,dec_on,sum_offline,oprf_off,gen_idx_off,pir_off,ot_off,com
256,1,1,0.127,0.016,0.000,0.110,0.000,0.000,0.084,0.026,0.057,0.000,0.001,2.257
256,64,1,0.178,0.015,0.011,0.139,0.013,0.000,0.119,0.026,0.091,0.001,0.001,2.632
256,128,1,0.234,0.014,0.022,0.148,0.051,0.000,0.117,0.025,0.090,0.002,0.001,3.575
256,256,1,0.425,0.014,0.044,0.162,0.205,0.001,0.116,0.027,0.086,0.003,0.001,7.347
4096,1,1,0.305,0.017,0.000,0.288,0.000,0.000,0.934,0.031,0.900,0.002,0.001,2.437
4096,64,1,0.375,0.017,0.010,0.335,0.013,0.000,1.673,0.033,1.636,0.004,0.001,2.810
4096,128,1,0.484,0.016,0.022,0.395,0.051,0.000,1.610,0.032,1.572,0.005,0.001,3.757
4096,256,1,0.711,0.017,0.048,0.441,0.203,0.002,1.566,0.031,1.528,0.007,0.001,7.569
4096,512,1,1.387,0.018,0.096,0.465,0.800,0.007,1.540,0.032,1.499,0.009,0.001,22.598
4096,1024,1,4.116,0.020,0.173,0.696,3.221,0.005,1.487,0.035,1.436,0.014,0.003,85.103
65536,1,1,2.501,0.015,0.000,2.486,0.000,0.000,14.651,0.196,14.427,0.027,0.001,3.206
65536,64,1,2.765,0.021,0.015,2.714,0.013,0.003,28.486,0.200,28.233,0.052,0.001,3.572
65536,128,1,2.884,0.021,0.021,2.786,0.051,0.006,27.272,0.194,27.024,0.052,0.001,4.522
65536,256,1,3.185,0.016,0.044,2.912,0.203,0.011,26.830,0.199,26.576,0.054,0.001,8.308
65536,512,1,4.105,0.018,0.099,3.161,0.809,0.019,26.357,0.201,26.098,0.056,0.001,23.415
65536,1024,1,7.434,0.020,0.176,3.903,3.298,0.036,25.562,0.215,25.284,0.063,0.001,86.280
1048576,1,1,34.225,0.017,0.000,34.206,0.000,0.002,235.691,2.609,232.160,0.921,0.001,6.256
1048576,64,1,35.139,0.036,0.012,34.995,0.013,0.083,446.666,2.758,443.010,0.897,0.001,6.626
1048576,128,1,35.354,0.048,0.021,35.084,0.051,0.149,452.775,2.573,449.336,0.866,0.001,7.581
1048576,256,1,35.858,0.046,0.048,35.267,0.205,0.292,455.525,2.643,452.023,0.858,0.001,11.398
1048576,512,1,37.132,0.019,0.089,35.621,0.803,0.600,447.639,2.627,444.133,0.877,0.001,26.419
1048576,1024,1,43.050,0.034,0.176,38.373,3.253,1.213,446.514,2.697,442.938,0.878,0.001,90.570
1048576,2048,1,49.449,0.027,0.356,31.626,15.009,2.431,445.095,2.555,441.700,0.838,0.001,346.360
1048576,4096,1,87.583,0.039,0.736,25.492,56.583,4.733,430.093,2.542,426.661,0.889,0.001,1315.335
time/s com/MB (label byte 128 item byte 16 poly_N 8192 Thread 1)
