Sender,Receiver,Payload,Total_s,OPRF_s,Gen_Idx_s,Query_Idx_s,Get_Key_s,Dec_s
256,1,1,0.123,0.016,0.000,0.107,0.000,0.000
256,64,1,0.172,0.017,0.010,0.131,0.014,0.000
256,128,1,0.235,0.015,0.021,0.147,0.052,0.000
256,256,1,0.432,0.021,0.043,0.162,0.204,0.001
4096,1,1,0.305,0.017,0.000,0.288,0.001,0.000
4096,64,1,0.355,0.014,0.011,0.318,0.013,0.000
4096,128,1,0.464,0.018,0.021,0.373,0.052,0.001
4096,256,1,0.731,0.015,0.047,0.457,0.210,0.002
4096,512,1,1.386,0.019,0.086,0.463,0.811,0.007
4096,1024,1,4.202,0.019,0.172,0.695,3.311,0.005
4096,2048,1,14.492,0.026,0.358,0.590,13.509,0.010
4096,4096,1,55.881,0.039,0.746,1.929,53.144,0.023
65536,1,1,2.501,0.017,0.000,2.483,0.001,0.000
65536,64,1,2.774,0.017,0.010,2.731,0.014,0.003
65536,128,1,2.853,0.018,0.021,2.757,0.052,0.006
65536,256,1,3.116,0.015,0.043,2.842,0.205,0.011
65536,512,1,3.949,0.015,0.092,2.999,0.826,0.018
65536,1024,1,7.129,0.022,0.182,3.633,3.257,0.036
65536,2048,1,16.441,0.029,0.360,2.798,13.187,0.068
65536,4096,1,59.679,0.040,0.707,5.457,53.341,0.134
1048576,1,1,34.327,0.017,0.000,34.305,0.003,0.002
1048576,64,1,35.063,0.016,0.011,34.939,0.014,0.084
1048576,128,1,35.801,0.017,0.023,35.553,0.053,0.157
1048576,256,1,36.321,0.022,0.050,35.684,0.222,0.343
1048576,512,1,37.889,0.042,0.090,36.310,0.824,0.624
1048576,1024,1,34.353,0.019,0.188,29.521,3.377,1.248
1048576,2048,1,48.796,0.029,0.369,32.332,13.588,2.479
1048576,4096,1,85.707,0.040,0.720,25.973,54.303,4.672
