Sender_Size,Receiver_Size,Intersection_Size,Intersection_Percentage,Label_Size,Item_Size,PIR_Mode,Status,Total_Online(s),Total_Offline(s),Communication(MB)
1024,512,1,.19%,32,8,0,SUCCESS,0.379,0.381,2.471
1024,512,52,10.15%,32,8,0,SUCCESS,0.449,0.385,4.468
1024,512,103,20.11%,32,8,0,SUCCESS,0.528,0.385,6.461
1024,512,154,30.07%,32,8,0,SUCCESS,0.626,0.378,8.460
1024,512,205,40.03%,32,8,0,SUCCESS,0.725,0.382,10.454
1024,512,256,50.00%,32,8,0,SUCCESS,0.810,0.382,12.449
1024,512,308,60.15%,32,8,0,SUCCESS,0.890,0.387,14.484
1024,512,359,70.11%,32,8,0,SUCCESS,1.001,0.390,16.484
1024,512,410,80.07%,32,8,0,SUCCESS,1.110,0.378,18.521
1024,512,461,90.03%,32,8,0,SUCCESS,1.160,0.382,20.471
1024,512,512,100.00%,32,8,0,SUCCESS,1.260,0.383,22.466
